index,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,twoMMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,twoMMRstrengthfar,MEGNO,MEGNOstd,prelimStable,Stable
30900,0.09344905716634484,0.005387834232207292,0.0004680599322964908,0.010181137570581164,0.010181137570581164,0.11641015837769908,0.10841813209685658,0.003627452420064181,0.010422417405325762,0.010181137570581164,2.536185161723292,0.10536831174952341,True,False
30901,0.18413078255362883,0.08887592148648027,0.0012824286313225233,0.07563905586230259,0.07563905586230259,0.6377609065913459,0.013075280696744847,0.0034753545990351903,0.0,0.07563905586230259,2.0171205221644257,0.0015737027330859083,True,False
30902,0.11817738966325246,0.12953308526070484,0.0007779122661108492,0.027519049830568625,0.027519049830568625,0.30863806035816455,0.019116002244518614,0.004305567016481834,0.0,0.027519049830568625,24.930049520063477,5.967883687429833,True,False
30903,0.3437022894426608,0.0599604024292254,0.00023345337259341915,0.0,0.0,0.4315875204936826,0.031753501278068454,0.032925082445999336,0.0,0.0,36.25420634248067,8.028914097722307,True,False
30904,0.10382041956145037,0.16915919622698322,0.01227989584954701,0.02777004666759364,0.02777004666759364,0.1433563216394944,0.11116770711759204,0.00044914267990921907,0.028749566899818592,0.02777004666759364,71.92262942988026,16.630847543058813,True,False
30905,0.05149764375084008,0.3531258914247847,0.06662329157495808,0.0522588088176327,0.0522588088176327,0.24657275164750164,0.07000984772812638,0.00045185370321651643,0.0,0.0522588088176327,26.888169291504592,7.621191160113517,True,False
30906,0.07271427109650541,0.025657221122227878,0.0022073785889520493,0.022768386848976613,0.022768386848976613,0.17426395725133578,0.02564446038730423,0.005891044966104729,0.00997652558517836,0.022768386848976613,1.9981164431102094,0.0013846964431213009,True,False
30907,0.10860742573599393,0.017813698906441494,0.011259498220765685,0.013445912448206296,0.013445912448206296,0.4833970769818482,0.036211414413318495,0.0014710400039604442,0.0,0.013445912448206296,2.0017013344358143,0.0003701133081565542,True,True
30908,0.09283554417036162,0.0186111424651873,0.0001805524674472564,0.023775938959253604,0.023775938959253604,0.1252987704946796,0.13373139136449855,0.013403094747813296,0.002666443613520195,0.023775938959253604,2.756685389649551,0.33351542004158213,True,False
30909,0.13126300160818544,0.45784259979691566,0.018869001041457258,0.025168148659701364,0.025168148659701364,0.5883390613006718,0.04714779154882501,0.008246917182927986,0.0,0.025168148659701364,8.039983308720647,0.9552003161911512,True,False
30910,0.22303083185533681,0.026564635890101714,0.002944953802611459,0.012338883722650816,0.012338883722650816,0.25129392876819967,0.08358472337768043,0.008787066477784216,0.0,0.012338883722650816,2.1294557611002682,0.12052403514916538,True,False
30911,0.13057613935701035,0.013068017229386195,0.00021777066507055331,0.02300884256866967,0.02300884256866967,0.7474871786625156,0.028360040143139042,0.0008489429395889045,0.0,0.02300884256866967,2.0058530425752505,0.003262560347905732,True,True
30912,0.1824378768143845,0.07121326524859026,0.0008701709033769306,0.0074857335547591514,0.0074857335547591514,0.2646174083510276,0.00867423839626095,0.0020208398839832603,0.0,0.0074857335547591514,0.9264162268438991,0.4418750632622084,True,True
30913,0.08166296542784618,0.021747340845718673,0.0005595584124494763,0.004036812114872149,0.004036812114872149,0.5437610372073564,0.006232014847311515,5.844219433568438e-05,0.0,0.004036812114872149,1.999684712961902,0.00013129261047945687,True,True
30914,0.3350501392020489,0.04091507937161419,0.011563038745125608,0.0,0.0,0.4059957870998173,0.013089662340557143,0.0004863646227733161,0.0,0.0,1.875685478226282,0.04333827394876717,True,True
30915,0.05716041033921041,0.006448283038501134,0.0015298966474588122,0.00230913726428508,0.00230913726428508,0.24331766124894594,0.00030670729078545504,4.416541758635599e-05,0.002472423737724307,0.00230913726428508,11.178468627380614,3.3320387780723477,True,False
30916,0.13232597706021298,0.07591158957580899,0.0028095244862568767,0.0023512196451019257,0.0023512196451019257,0.40511818705148367,0.010198673845244562,6.260755097732556e-05,0.0,0.0023512196451019257,2.093638235531284,0.03728484167284071,True,False
30917,0.3104854205523033,0.08111340585588424,0.03252285944846742,0.0,0.0,0.38466722393902764,0.0297569878557897,0.0358337454001725,0.0,0.0,71.45620116893808,9.978120632255001,True,False
30918,0.03576309093651407,0.03679466322985385,0.0004638752844582089,0.00557209462482601,0.00557209462482601,0.07597826922898226,0.008680216514924064,0.0001503734368160875,0.0035121798592581406,0.00557209462482601,20.44011604474962,6.001892877453764,True,False
30919,0.07231773891846494,0.021923298805171982,0.0022741927289656886,0.04317801207892673,0.04317801207892673,0.24319650741376397,0.03054130078068946,0.0007202983257635775,0.027662268388679342,0.04317801207892673,1.8025683544610955,0.21389820632471582,True,False
30920,0.09037963772460914,0.02702061852265334,0.0055939063578491904,0.0052298569549527945,0.0052298569549527945,0.15971887476971217,0.0059867070350591465,0.00018266972883692874,0.003439591554459908,0.0052298569549527945,1.9756812474669418,0.015250279233327857,True,False
30921,0.10694570099492448,0.29470814541378454,0.0044646843061292634,0.006369855792514208,0.006369855792514208,0.18237395855269867,0.018352582778479242,0.00033305090912549807,0.010986362601644477,0.006369855792514208,148.99742926191908,36.00003690617481,True,False
30922,0.212951082506435,0.026904953911376848,5.1821786175622586e-05,0.003475472142452905,0.003475472142452905,0.46539388272847126,0.004130701497620348,0.0005494442593210885,0.0,0.003475472142452905,1.999031307347998,0.00015754998551059524,True,True
30923,0.09384246350344214,0.013493351858725392,0.0003074895141161113,0.009541848790088955,0.009541848790088955,0.18235860721241148,0.043911641784414354,0.0049868390029708266,0.003814501255127214,0.009541848790088955,1.9774301003819437,0.07547739519145241,True,False
30924,0.12950924472388317,0.027249555885255062,0.0007923316567101404,0.04068142391235263,0.04068142391235263,0.37219216156049806,0.05972597346045501,0.01867179848948559,0.0,0.04068142391235263,2.0376583552564544,0.0661818357604165,True,False
30925,0.09338535908811525,0.04502843661642196,0.0025673226659678927,0.02568022897356358,0.02568022897356358,0.41015859941395433,0.005154826926820681,0.0008176669613352373,0.0,0.02568022897356358,1.9944766194157972,0.00747284450611258,True,False
30926,0.25212695692454684,0.0456475724539014,0.0029435551028064114,0.0,0.0,0.7440246762832968,0.009502429568890365,0.0023158111331703746,0.0,0.0,1.9979266039077517,0.0006865151330407877,True,True
30927,0.1360106372236975,0.26005516718902827,0.004298484739679,0.018249344740929735,0.018249344740929735,0.4980821842901108,0.057611347942407826,0.004373622462633329,0.0,0.018249344740929735,227.08400393698923,48.06219294266632,True,False
30928,0.06954619714726222,0.25024612431232673,0.0008106933719141225,0.03969198436983666,0.03969198436983666,0.23636043581089172,0.016507728270162152,0.00309787553577783,0.0047049471650779835,0.03969198436983666,242.43840495916348,50.404852621893916,True,False
30929,0.11113840544917641,0.1664601716266531,0.0010251873310020772,0.028276554939700778,0.028276554939700778,0.1264659285057854,0.14473638928458912,0.0057669312183266435,0.006958821009634776,0.028276554939700778,1.9763900708524116,0.055073174924609794,True,False
30930,0.07299318675948083,0.037571351536644336,0.00029365056576779265,0.030573880016667988,0.030573880016667988,0.11511320052071045,0.08530295160567379,0.010008510752004068,0.009083747624211618,0.030573880016667988,10.804291937774408,2.938457332594264,True,False
